
# Raw data @ /home/smukher/nvl/src/nvl/pisces/cray/static-link/examples/ping-pong/bi_bw_timing.txt
#size  lat(us)  bw(Bytes/s)
8	35	228571
16	36	444444.44
32	36	888888.89
64	35	1828571.43
128	36	3555555.56
256	32	8000000.00
512	33	15515151.52
1024	31	33032258.06
2048	33	62060606.06
4096	36	113777777.78
8192	35	234057142.86	
16384   35   455111111.11  
32768   40   819200000.00  
65536   50   1310720000.00  
131072  69   1899594202.90  
262144  91   2880703296.70  
524288  165  3177503030.30  
1048576 257  4080062256.81  
2097152 556  3771856115.11
4194304 1090 3847985321.10  
