 8 	 29.00 		 275862.07  
 16 	 26.00 		 615384.62  
 32 	 25.00 		 1280000.00  
 64 	 25.00 		 2560000.00  
 128 	 26.00 		 4923076.92  
 256 	 25.00 		 10240000.00  
 512 	 29.00 		 17655172.41  
 1024 	 25.00 		 40960000.00  
 2048 	 33.00 		 62060606.06  
 4096 	 26.00 		 157538461.54  
 8192 	 31.00 		 264258064.52  
 16384 	 29.00 		 564965517.24  
 32768 	 31.00 		 1057032258.06  
 65536 	 38.00 		 1724631578.95  
 131072 	 50.00 		 2621440000.00  
 262144 	 75.00 		 3495253333.33  
 524288 	122.00 		 4297442622.95  
 1048576 	217.00 		 4832147465.44  
 2097152 	398.00 		 5269226130.65  
 4194304 	757.00 		 5540692206.08  
