#size lat(us) bw(Bytes/s)
8       2   3212851.41  
16      2   6349206.35  
32      2   12749003.98  
64      2   24521072.80  
128     2   50592885.38  
256     2   98084291.19  
512     2   194676806.08  
1024    2   383520599.25  
2048    2   716083916.08  
4096    3   1342950819.67  
8192    3   2226086956.52  
16384   4   3420459290.19  
32768   7   4532226832.64  
65536   12  5112012480.50  
131072  23  5681491114.00  
262144  43  5974111212.40  
524288  85  6100628345.36  
1048576 170 6155421191.66  
2097152 337 6209919753.63  
4194304 672 6235585156.99 
